,URL from https://github.com/search?q=android%2C+health,Description,,,,,,,,,,,,,,,,,,,
133,https://github.com/KourdacheHoussam/HealthContentManager,Application Android de gestion de patients ,,,,,,,,,,,,,,,,,,,
134,https://github.com/swe-team-c/HealthCareApplication,An android application for health care ,,,,,,,,,,,,,,,,,,,
135,https://github.com/DiszaJatnika/asyifahealth,Aplikasi Android Asyifa Health ,,,,,,,,,,,,,,,,,,,
136,https://github.com/carlyonmdsol/HealthVaultAndroidExample,Cleaned up Android Health Vault Example ,,,,,,,,,,,,,,,,,,,
137,https://github.com/Epamek/HealthyLiving2,Heartrate Monitoring through Android over Bluetooth LE ,,,,,,,,,,,,,,,,,,,
138,https://github.com/neelmehta247/Hack4Health,RemindMe is an Android app that helps Alzheimer's patients multitask in their day to day life. ,,,,,,,,,,,,,,,,,,,
139,https://github.com/davitterar/Healthiera,Healthiera android app ,,,,,,,,,,,,,,,,,,,
140,https://github.com/bitgeeky/healthservice,Android application for Appathon,,,,,,,,,,,,,,,,,,,
141,https://github.com/chinnatan/Healthy,Advanace app android ,,,,,,,,,,,,,,,,,,,
142,https://github.com/CrystalRanita/BabyHelper,Health care tool using OpenCV on android platform,,,,,,,,,,,,,,,,,,,
143,https://github.com/timchenggu123/SaveMi,A health monitoring Android app. Winner of Waterloo EngHack 2019 ,,,,,,,,,,,,,,,,,,,
144,https://github.com/thomasfn/HealthApp,Android health app for Mobile Application Development coursework 2015. ,,,,,,,,,,,,,,,,,,,
145,https://github.com/dasilvabalautaro/HealthCheckpoint,Android- Get data of sensors and send to other mobile. ,,,,,,,,,,,,,,,,,,,
146,https://github.com/Epamek/HealthyLiving,Heart rate monitor for Android using Bluetooth Low Energy ,,,,,,,,,,,,,,,,,,,
147,https://github.com/steepmountain/HealthSync,Android Application that displays data from Samsung S Health ,,,,,,,,,,,,,,,,,,,
148,https://github.com/mattdhlee/HealthFacts,An android app that provides users with random health facts. ,,,,,,,,,,,,,,,,,,,
149,https://github.com/custord/HealthList,[Android] Front-end Application to Browse Nearby Health Care Specialists. ,,,,,,,,,,,,,,,,,,,
150,https://github.com/adeepbiswas18/HealthyHands,Android app for germs detection in hands using image processing. ,,,,,,,,,,,,,,,,,,,
151,https://github.com/kurtlewis/know-yourself,DerbyHacks3 Project - An android app for tracking your mental health ,,,,,,,,,,,,,,,,,,,
152,https://github.com/prabhnoor15/HealthFit,"this is the android studio project for ""Health Fit"" ",,,,,,,,,,,,,,,,,,,
153,https://github.com/wwwhackcom/HealthCrossplatform,Health and wellness Crossplatform app(Android and iOS) using Xamarin ,,,,,,,,,,,,,,,,,,,
154,https://github.com/jerryliu3/HealthTracker,https://github.com/jerryliu3/HealthTracker,,,,,,,,,,,,,,,,,,,
155,https://github.com/mmarose14/HealthPairs,Android app for looking up Healthy Food combinations https://mattsapps.mobi/health-pairs/,,,,,,,,,,,,,,,,,,,
156,https://github.com/jeffborda/health-tracker,Android App ,,,,,,,,,,,,,,,,,,,
157,https://github.com/DarrinHowell/health-tracker,android app ,,,,,,,,,,,,,,,,,,,
158,https://github.com/pedfernandes/CarHealth,Aplicativo Android ,,,,,,,,,,,,,,,,,,,
159,https://github.com/christophergunadi/HealthHack18_Calorie_Camera,Android app designed for Health Hack 2018. ,,,,,,,,,,,,,,,,,,,
160,https://github.com/siddharthsujir/Health-Buddy,An Android application for health conscious android user ,,,,,,,,,,,,,,,,,,,
161,https://github.com/SayeedAbid/HealthMonitorApp,A personal health monitoring system with android studio and java ,,,,,,,,,,,,,,,,,,,
162,https://github.com/doneill123/HealthyHabitsProject,Mobile app on Android Studio for final year project ,,,,,,,,,,,,,,,,,,,
163,https://github.com/Abdullah-Naveed/HealthChain-Android,Android App for Final Year Project - Health Chain ,,,,,,,,,,,,,,,,,,,
164,https://github.com/santosh719/HealthMonitoringByGraph,Health monitoring and relevant data storage android app ,,,,,,,,,,,,,,,,,,,
165,https://github.com/Tianming8585/iHealth,iHealth Android Firebase ,,,,,,,,,,,,,,,,,,,
166,https://github.com/charlesmastin/healthnotifier-android,HealthNotifier Android Client ,,,,,,,,,,,,,,,,,,,
167,https://github.com/zhning12/Health-Record,Android Individual Project. ,,,,,,,,,,,,,,,,,,,
168,https://github.com/Ajayclamour/MyHealthyHost_Android,MyHealthyHost_Android ,,,,,,,,,,,,,,,,,,,
169,https://github.com/kenny0202/SimpleHealthPlan,Android App,,,,,,,,,,,,,,,,,,,
170,https://github.com/marcgilbert01/ContactsSimpleApp,"Android test for ""Babylon Health"" ",,,,,,,,,,,,,,,,,,,
171,https://github.com/danielCantwell/Fit-Friend,Health & Exercise app for Android ,,,,,,,,,,,,,,,,,,,
172,https://github.com/samikshay2/HHH-Healthy-Heart-Helper,Android App ,,,,,,,,,,,,,,,,,,,
173,https://github.com/RavneetDTU/Health-Startup,Android App for Health Startup ,,,,,,,,,,,,,,,,,,,
174,https://github.com/Touhid7051/BMI-Health-Monitor-Android-app,BMI Health Monitor Android app ,,,,,,,,,,,,,,,,,,,
175,https://github.com/serkansorman/LogMe-Android-App,Smart Health Band Android App https://logmewristband.github.io,,,,,,,,,,,,,,,,,,,
176,https://github.com/AndreasHalim/AfiatApp,Health tracker run on Android ,,,,,,,,,,,,,,,,,,,
177,https://github.com/ylrodriguez/HealthcareTracking,Aplicaci¢n m¢vil en Android para el control de medicinas y citas para el adulto mayor. ,,,,,,,,,,,,,,,,,,,
178,https://github.com/kkhwee/hci-assignment,CPR Health Buddy Android Application ,,,,,,,,,,,,,,,,,,,
179,https://github.com/xiangxianzui/Health-Android-Client,"Android client of ""HEALTH"" app ",,,,,,,,,,,,,,,,,,,
180,https://github.com/Ramonrune/nhs-patient,NFC Health System Patient Android ,,,,,,,,,,,,,,,,,,,
181,https://github.com/StevenElberger/HealthMate,An android application that tracks user's health information and uploads it to a database. ,,,,,,,,,,,,,,,,,,,
182,https://github.com/pratikg11/HealthManager,This is an android App to Calculate Daily Calorie Intake and many other functionalities ,,,,,,,,,,,,,,,,,,,
183,https://github.com/yourSylvia/HealthAssistant,"An Android APP for exercise reminder, user activities tracking report, exercise videos and health forum. ",,,,,,,,,,,,,,,,,,,
184,https://github.com/ahmetkilinc/FitnessForEnergy,An android app for health https://play.google.com/store/apps/de?,,,,,,,,,,,,,,,,,,,
185,https://github.com/cagdasbilecen/health-tracker-app,health tracker app for android ,,,,,,,,,,,,,,,,,,,
186,https://github.com/samdkershaw/HealthBuddy,An Android application that integrates with the FatSecret platform to provide health guides to end users. ,,,,,,,,,,,,,,,,,,,
187,https://github.com/SuciuCalin/Project_09_HealthyRoutineTracker,Habit Tracker App - Udacity Android Basics Nanodegree by Google ,,,,,,,,,,,,,,,,,,,
188,https://github.com/rieekan/QualitativeHealthSystems,Qualitative Health Systems - Android Client ,,,,,,,,,,,,,,,,,,,
189,https://github.com/AtifMahmud/HealthWatch,An Android to work in conjunction with a heart rate tracking wearable. ,,,,,,,,,,,,,,,,,,,
190,https://github.com/jocelindarma/HealthNavigator,A fully functioning Android app that allows people to request and give personal hygiene products. ,,,,,,,,,,,,,,,,,,,
191,https://github.com/sappybawa/MedicationInformationSystem,"Hacking Health, Android app UI ",,,,,,,,,,,,,,,,,,,
192,https://github.com/neil007m/HealthApp,Android app that records a user's symptoms and various information about it. ,,,,,,,,,,,,,,,,,,,
193,https://github.com/MV1998/HealthStride,An Android Application for health stride which was made during industrial training. ,,,,,,,,,,,,,,,,,,,
194,https://github.com/MujtabaBinKhalid/lifeline,"An android health , fitness application. ",,,,,,,,,,,,,,,,,,,
195,https://github.com/tanyag330/HealthTotal,This is an Android App used to maintain proper health and diet. ,,,,,,,,,,,,,,,,,,,
196,https://github.com/apoorvsarang10/HealthilyApp,"Android health related app which incorporates Fragments, Firebase Authentication, Firebase Firestore, Notifications and Accelerometer. ",,,,,,,,,,,,,,,,,,,
197,https://github.com/aarjan/Android-apps,A set of android apps ,,,,,,,,,,,,,,,,,,,
198,https://github.com/nvrocks/MobiDoc,This is a health care android application which determines the disease suffered by the patient on the basis of symptoms entered by him/her. ,,,,,,,,,,,,,,,,,,,
199,https://github.com/jnoga1996/healthy-eating,Android app for PUM18 course ,,,,,,,,,,,,,,,,,,,
200,https://github.com/dimgiatz/healthevents-android-project,University Android Project ,,,,,,,,,,,,,,,,,,,
201,https://github.com/Nolthicha/Health_Care_For_Diabetes,Project Android Silpakorn University ,,,,,,,,,,,,,,,,,,,
202,https://github.com/NgJun/bHealth_Android_SouceCode,Android Code ,,,,,,,,,,,,,,,,,,,
203,https://github.com/SajalGupta/PlanYourHealth,PlanYourHealth Android Application ,,,,,,,,,,,,,,,,,,,
204,https://github.com/itzatom/HealthSystemApp,Companion App for HealthSystem. Exame project for Mobile Devices. First Java/Android application. ,,,,,,,,,,,,,,,,,,,
